ticker,type,strike,expiry,iv,open_interest,market_price
BOVAW170,PUT,R$ 170.00,19/11/2026,24.9%,8445,3.91
BOVAU165,PUT,R$ 165.00,17/09/2027,24.6%,8391,-7.04
BOVAT154,PUT,R$ 154.00,21/08/2026,22.1%,8377,-6.09
BOVAD150,CALL,R$ 150.00,16/04/2027,0.0%,8354,23.43
BOVAS155,PUT,R$ 155.00,17/07/2026,20.6%,8341,11.29
BOVAC900,CALL,R$ 90.00,20/03/2026,0.0%,8316,5.31
BOVAN156W4,PUT,R$ 156.00,27/02/2026,16.9%,8302,-11.11
BOVAP158,PUT,R$ 158.00,16/04/2027,25.4%,8253,-3.12
BOVAN177,PUT,R$ 177.00,20/02/2026,20.9%,8224,-1.97
BOVAN165W1,PUT,R$ 165.00,06/02/2026,15.8%,8065,-47.61
BOVAH4,CALL,R$ 120.00,21/08/2026,0.0%,8029,-2.9
BOVAS8,PUT,R$ 139.00,16/07/2027,10.4%,8025,-99.58
BOVAT200,PUT,R$ 200.00,21/08/2026,24.5%,8012,-5.31
BOVAR153,PUT,R$ 153.00,19/06/2026,21.6%,8000,29.12
BOVAE165,CALL,R$ 165.00,15/05/2026,14.2%,8000,17.24
BOVAH154,CALL,R$ 154.00,21/08/2026,13.8%,7802,6.2
BOVAE125,CALL,R$ 125.00,15/05/2026,0.0%,7778,3.59
BOVAB146W1,CALL,R$ 146.00,06/02/2026,0.0%,7655,0
BOVAF137,CALL,R$ 137.00,19/06/2026,0.0%,7651,117.88
BOVAM167W5,PUT,R$ 167.00,30/01/2026,16.3%,7572,0
BOVAH139,CALL,R$ 139.00,21/08/2026,0.0%,7503,20.05
BOVAO184,PUT,R$ 184.00,20/03/2026,22.2%,7494,-6.4
BOVAV134,PUT,R$ 134.00,16/10/2026,24.3%,7458,7.14
BOVAD137,CALL,R$ 137.00,17/04/2026,0.0%,7399,5.89
BOVAE136,CALL,R$ 136.00,15/05/2026,0.0%,7334,0
BOVAA155W5,CALL,R$ 155.00,30/01/2026,16.2%,7222,11.33
BOVAA136W4,CALL,R$ 136.00,23/01/2026,65.0%,7212,4.51
BOVAW69,PUT,R$ 152.00,19/11/2027,26.1%,7188,-4.76
BOVAO137,PUT,R$ 137.00,20/03/2026,24.2%,7045,-20
BOVAW72,PUT,R$ 154.00,19/11/2027,27.1%,7010,-0.91
BOVAR106,PUT,R$ 106.00,18/06/2027,30.3%,7000,-16
BOVAC109,CALL,R$ 109.00,20/03/2026,0.0%,7000,0.09
BOVAH200,CALL,R$ 200.00,21/08/2026,16.9%,6971,-32.27
BOVAA142W5,CALL,R$ 142.00,30/01/2026,0.0%,6843,3.27
BOVAV136,PUT,R$ 136.00,16/10/2026,24.2%,6808,-18.31
BOVAB162W1,CALL,R$ 162.00,06/02/2026,14.6%,6665,31.87
